Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014006-Alacant - El Pla
	
FECHA	C8H10	SO2	CO	NO	NO2	PM10	Ni	NOx	O3	As	Pb	C7H8	BaP	Cd	C6H6
	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	ng/m³N	µg/m³
05/12/2022	1	4	0,2	8	25	19		37	34			0,8			0,3
06/12/2022	0,6	3	0,1	1	17	18	4	19	40	0,34	0,01	0,4		0,05	0,2
07/12/2022	1	3	0,2	16	30	20		54	25			1,3	0,18		0,3
08/12/2022	0,9	4	0,2	5	27	16	1,4	34	34	0,2	0,01	0,7		0,05	0,3
09/12/2022	1	4	0,2	10	32	18		47	25			0,9			0,3
10/12/2022	0,3	3	0,1	1	12	7	1,4	13	60	0,05	0,01	0,2		0,05	0,1
11/12/2022						12									
12/12/2022						26	1,4			0,34	0,01			0,05	
13/12/2022	2	5	0,2	35	33	22		86	15			2,2			0,5
14/12/2022	1	4	0,2	13	29	16	1,4	48	31	0,05	0,01	0,9		0,05	0,3
15/12/2022	1,2	3	0,2	15	32	13		54	27			1,3	0,13		0,3
16/12/2022	0,9	3	0,2	8	18	15	1,4	30	40	0,05	0,01	0,9		0,05	0,3
17/12/2022	0,7	3	0,2	3	11	11		15	30			0,5			0,2
18/12/2022	0,6	3	0,1	1	5	10	1,4	7	29	1,56	0,01	0,4		0,05	0,2
19/12/2022	1,3	3	0,2	3	9	14		13	31			1,4			0,4
20/12/2022	1,2	4	0,2	3	11	22	4	14	25	0,32	0,01	1,3		0,05	0,4
21/12/2022	0,8	3	0,1	3	16	14		20	37			0,6			0,2
22/12/2022	0,5	3	0,1	2	16	12	1,4	19	50	0,05	0,01	0,3		0,05	0,2
23/12/2022	1,8	5	0,4	27	27	26		68	29			2,2			0,5
24/12/2022	1,5	4	0,4	7	15	24	1,4	26	18	3,1	0,01	1,5		0,05	0,4
25/12/2022	1	3	0,3	3	7	24		11	23			1			0,4
26/12/2022	2	4	0,4			28	1,4		17	0,18	0,01	2,5		0,05	0,6
27/12/2022	2	5	0,3			29			17			2,6			0,6
28/12/2022	1,8	4	0,3			29	1,4		22	0,35	0,01	2,2		1,61	0,5
29/12/2022	1,7	4	0,3			31			22			1,9			0,4
30/12/2022	0,9	3	0,1			31	1,4		34	0,44	0,01	0,8		0,05	0,2
31/12/2022	1,2	3	0,3			33	3		28	0,46	0,01	1,2		0,16	0,4
